ExpUnit,Trt,Variety,BRAND,MG,HERB_Trait,SEED_TREATMENT,Herbicide,Rep,Entry,Run ,Subsample,Rating,Illevo_Inj
753,96,LS-1039N RR2,Legacy Seeds,1,RR2Y,"L-Coat Total, Excalibre",metr,1,753,1,1,3,no
860,204,SB1270,SB&B,1.2,CN,None,metr,1,860,1,1,3,no
1026,148,8146R2Y,Munson,1.4,RR2Y,Intego Suite,metr,2,1026,1,1,3,no
1271,172,7253,NuTech,2.5,GT,SmartCote Supreme,metr,3,1271,1,1,3,yes
682,25,BG7141R2Y,BioGene,1.4,RR2Y,Arma,metr,1,682,2,1,3,
711,54,S17RY67,Dyna-Gro,1.7,RR2Y,"Equity VIP, Clariva",metr,1,711,2,1,3,
1232,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",metr,3,1232,2,1,3,
1212,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,3,1212,2,1,3,
572,136,LGS1635RX,LG Seeds,1.6,RR2X,"AgriSheild F/I, ILeVO",ctrl,3,572,2,2,3,
904,26,BG7151R2Y,BioGene,1.5,RR2Y,Arma,metr,2,904,2,2,3,
970,92,1223R2X,Jung,2.2,RR2X,Acceleron F/I,metr,2,970,2,2,3,
1232,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",metr,3,1232,2,2,3,
1386,66,HS 16X80,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",sulf,1,1386,2,2,3,
1905,143,LGS2680RX,LG Seeds,2.6,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1905,2,2,3,
991,207,LS 1527LLN,Legend Seeds,1.5,LL,"YP Pro, Preside, Quickroots",metr,2,991,2,3,3,
1125,26,BG7151R2Y,BioGene,1.5,RR2Y,Arma,metr,3,1125,2,3,3,
1442,122,LS 24C756N,Legend Seeds,2.4,CN,"YP Pro, Preside, Quickroots",sulf,1,1442,2,3,3,
76,82,266LL,Hughes ,2.6,LL,"Apron XL, Cruiser, ILeVO, Maxim, Vibrance",ctrl,1,76,1,1,3,no
1353,33,CB26X67,Cornelius,2.6,RR2X,Profit Guard Plus,sulf,1,1353,1,1,3,yes
1447,127,LS 2880NHP,Legend Seeds,2.8,CN,None,sulf,1,1447,1,1,3,no
1729,189,RS089NX,Renk,0.8,RR2X,CruiserMaxx,sulf,2,1729,1,1,3,no
1832,70,HS 23X70,FS HiSOY,2.3,RR2X,"Acceleron, Cue, IleVO",sulf,3,1832,1,1,3,no
1918,156,S09-R8X Brand,NK ,0.9,RR2X,"Clariva Complete, Mertect",sulf,3,1918,1,1,3,no
1401,81,236LL,Hughes ,2.3,LL,"EverGol Energy, Gaucho, ILeVO",sulf,1,1401,2,1,3,
1338,17,AG18X9,Asgrow,1.8,RR2X,Acceleron F/I,sulf,1,1338,2,1,3,
1454,134,C1414RX,LG Seeds,1.4,RR2X,"AgriSheild F/I, ILeVO",sulf,1,1454,2,1,3,
1384,64,F154N RR2Y,Federal Hybrids,1.5,RR2Y,Maximum ArmourGuard,sulf,1,1384,2,1,3,
1386,66,HS 16X80,FS HiSOY,1.6,RR2X,"Acceleron, Cue, IleVO",sulf,1,1386,2,1,3,
1630,89,1182R2X,Jung,1.8,RR2X,Acceleron F/I,sulf,2,1630,2,1,3,
1674,133,C1000RX,LG Seeds,1,RR2X,"AgriSheild F/I, ILeVO",sulf,2,1674,2,1,3,
1575,34,CB27X81,Cornelius,2.7,RR2X,Profit Guard Plus,sulf,2,1575,2,1,3,
1578,37,DSR-0711/R2Y,Dairyland,0.7,RR2Y,"CruiserMaxx, Optimize",sulf,2,1578,2,1,3,
1590,49,DSR-2616/R2Y,Dairyland,2.6,RR2Y,"CruiserMaxx, Optimize",sulf,2,1590,2,1,3,
1604,63,F1490N R2X,Federal Hybrids,1.4,RR2X,Maximum ArmourGuard,sulf,2,1604,2,1,3,
1732,192,RS153NR2,Renk,1.5,RR2Y,CruiserMaxx,sulf,2,1732,2,1,3,
1746,206,SB86,SB&B,1.8,CN,None,sulf,2,1746,2,1,3,
1849,87,1154R2X,Jung,1.5,RR2X,Acceleron F/I,sulf,3,1849,2,1,3,
1915,153,8247R2Y,Munson,2.4,RR2Y,Intego Suite,sulf,3,1915,2,1,3,
1780,17,AG18X9,Asgrow,1.8,RR2X,Acceleron F/I,sulf,3,1780,2,1,3,
1900,138,C2020R2,LG Seeds,2,RR2Y,"AgriSheild F/I, ILeVO",sulf,3,1900,2,1,3,
1907,145,C2888RX,LG Seeds,2.8,RR2X,"AgriSheild F/I, ILeVO",sulf,3,1907,2,1,3,
1811,49,DSR-2616/R2Y,Dairyland,2.6,RR2Y,"CruiserMaxx, Optimize",sulf,3,1811,2,1,3,
