Entry,Run ,Rate1,Rate2,Rate3,IllevoInjury
566,2,10,10,10,
567,2,7,7,,
568,2,6,7,7,
569,2,6,6,,
570,2,7,6,,
571,2,8,8,,
572,2,1,3,,
573,2,7,7,,
574,2,7,7,8,
575,2,7,7,7,
576,2,8,8,7,
577,2,7,8,8,
578,2,9,9,9,
579,2,9,9,8,
580,2,8,8,,
581,2,8,8,8,
582,2,9,9,,
583,2,9,9,8,
584,2,9,9,9,
585,2,8,8,8,
586,2,8,8,8,
587,2,9,9,9,
588,2,8,8,8,
589,2,8,8,8,
590,2,7,7,,
591,2,8,8,7,
592,2,9,9,9,
593,2,9,9,9,
594,2,9,9,9,
595,2,9,9,8,
596,2,9,9,,
597,2,9,9,9,
598,2,9,9,9,
599,2,9,9,9,
600,2,8,8,8,
601,2,2,2,8,
602,2,8,8,8,
603,2,5,6,7,
604,2,4,,,
605,2,6,6,,
606,2,7,6,6,
607,2,6,7,8,
608,2,7,8,8,
609,2,7,10,10,
610,2,10,10,10,
611,2,9,9,9,
612,2,8,8,,
613,2,8,8,8,
614,2,6,10,10,
615,2,10,10,10,
616,2,10,10,10,
617,2,10,10,10,
618,2,9,9,10,
619,2,9,9,9,
620,2,9,7,7,
621,2,10,10,9,
622,2,10,10,9,
623,2,10,10,10,
624,2,10,10,9,
625,2,10,10,10,
626,2,6,9,10,
627,2,10,10,,
628,2,10,10,,
629,2,6,9,9,
630,2,6,10,10,
631,2,6,9,9,
632,2,6,9,8,
633,2,8,9,,
634,2,8,,,
635,2,8,9,,
636,2,9,9,8,
637,2,9,8,,
638,2,8,8,8,
639,2,8,8,,
640,2,10,10,10,
641,2,5,8,,
642,2,9,9,9,
643,2,9,9,9,
644,2,10,10,10,
645,2,10,10,10,
646,2,10,10,9,
647,2,10,10,10,
648,2,10,10,10,
649,2,10,10,8,
650,2,10,10,10,
651,2,10,10,10,
652,2,10,10,8,
653,2,9,9,9,
654,2,,,,
655,2,,,,
656,2,,,,
657,2,,,,
658,2,,,,
659,2,,,,
660,2,,,,
661,2,,,,
662,2,,,,
663,2,10,10,10,
664,2,7,7,7,
665,2,6,6,7,
666,2,2,7,7,
667,2,8,8,,
668,2,6,6,7,
669,2,7,7,6,
670,2,9,8,8,
671,2,1,7,7,
672,2,6,6,7,
673,2,6,7,7,
674,2,6,6,7,
675,2,1,2,8,
676,2,6,6,6,
677,2,6,7,7,
678,2,6,7,,
679,2,9,9,,
680,2,5,6,7,
681,2,1,6,7,
682,2,3,5,6,
683,2,7,7,7,
684,2,6,6,,
685,2,8,7,,
686,2,,,,
687,2,8,8,,
688,2,7,7,,
689,2,5,7,7,
690,2,,,,
691,2,6,6,,
692,2,8,8,8,
693,2,8,8,,
694,2,7,7,8,
695,2,8,8,8,
696,2,,,,
697,2,6,7,,
698,2,6,7,8,
699,2,9,9,9,
700,2,6,8,8,
701,2,6,6,,
702,2,9,7,8,
703,2,7,7,,
704,2,1,7,,
705,2,7,,,
706,2,8,8,,
707,2,8,8,8,
708,2,6,7,7,
709,2,7,8,,
710,2,7,7,,
711,2,3,6,7,
712,2,9,8,8,
713,2,6,6,6,
714,2,6,7,,
715,2,5,,,
716,2,1,7,,
717,2,8,8,8,
718,2,5,6,,
719,2,,,,
720,2,8,8,8,
721,2,,,,
722,2,8,,,
723,2,5,5,,
724,2,7,,,
725,2,1,8,8,
726,2,7,7,,
727,2,2,,,
728,2,8,8,8,
729,2,8,,,
730,2,7,,,
731,2,8,8,,
732,2,6,7,7,
733,2,6,8,7,
734,2,7,8,8,
735,2,1,7,7,
736,2,8,,,
737,2,7,8,8,
738,2,5,6,,
739,2,6,7,,
740,2,1,8,8,
741,2,7,7,7,
742,2,8,7,8,
743,2,8,7,8,
744,2,8,8,,
745,2,7,,,
746,2,6,7,,
747,2,7,,,
748,2,7,,,
749,2,6,7,7,
750,2,1,7,8,
751,2,8,8,8,
752,2,7,8,,
753,2,7,7,6,
754,2,8,8,1,
755,2,9,9,,
756,2,7,7,7,
757,2,4,6,,
758,2,6,8,,
759,2,6,7,,
760,2,7,8,8,
761,2,8,8,8,
762,2,7,7,7,
763,2,8,8,8,
764,2,5,9,9,
765,2,8,8,7,
766,2,8,7,5,
767,2,2,8,8,
768,2,8,8,8,
769,2,6,,,
770,2,1,7,8,
771,2,6,,,
772,2,8,8,8,
773,2,1,4,5,
774,2,8,8,7,
775,2,8,8,8,
776,2,1,8,8,
777,2,,,,
778,2,8,8,,
779,2,7,8,,
780,2,8,9,9,
781,2,9,8,8,
782,2,7,7,7,
783,2,7,8,8,
784,2,7,8,8,
785,2,7,6,7,
786,2,7,8,8,
787,2,8,,,
788,2,4,5,6,
789,2,7,7,7,
790,2,6,8,,
791,2,6,7,,
792,2,5,6,7,
793,2,6,,,
794,2,2,,,
795,2,5,6,6,
796,2,7,7,,
797,2,7,7,6,
798,2,7,8,8,
799,2,8,7,,
800,2,7,,,
801,2,,7,,
802,2,6,7,7,
803,2,6,6,,
804,2,7,,,
805,2,6,8,8,
806,2,5,6,,
807,2,,8,,
808,2,9,8,8,
809,2,8,8,,
810,2,7,7,8,
811,2,7,4,8,
812,2,5,8,8,
813,2,8,,6,
814,2,1,,8,
815,2,9,9,8,
816,2,8,8,,
817,2,9,6,8,
818,2,7,8,9,
819,2,7,6,8,
820,2,8,8,7,
821,2,1,6,7,
822,2,9,8,,
823,2,7,9,,
824,2,6,7,7,
825,2,7,7,8,
826,2,8,8,8,
827,2,7,7,7,
828,2,8,8,7,
829,2,6,7,8,
830,2,7,8,8,
831,2,7,,,
832,2,5,,,
833,2,5,7,,
834,2,2,8,,
835,2,6,6,5,
836,2,9,9,,
837,2,9,8,8,
838,2,7,7,8,
839,2,7,7,7,
840,2,1,6,6,
841,2,7,7,7,
842,2,9,,,
843,2,10,10,10,
844,2,7,9,_,
845,2,8,8,8,
846,2,9,8,8,
847,2,8,8,8,
848,2,8,8,,
849,2,9,8,8,
850,2,1,9,9,
851,2,9,9,8,
852,2,9,9,,
853,2,8,9,9,
854,2,9,9,,
855,2,7,8,,
856,2,8,8,8,
857,2,8,,,
858,2,7,8,8,
859,2,6,8,5,
860,2,5,9,9,
861,2,9,9,9,
862,2,1,8,8,
863,2,9,9,,
864,2,8,8,8,
865,2,9,9,,
866,2,10,10,10,
867,2,9,9,9,
868,2,6,6,8,
869,2,7,8,8,
870,2,7,7,8,
871,2,6,7,,
872,2,9,9,9,
873,2,8,8,,
874,2,9,10,10,
875,2,8,8,8,
876,2,8,9,9,
877,2,7,8,,
878,2,9,9,9,
879,2,6,8,,
880,2,9,9,9,
881,2,9,9,,
882,2,1,8,8,
883,2,10,10,10,
884,2,9,9,9,
885,2,8,8,8,
886,2,7,7,7,
887,2,8,8,8,
888,2,8,7,7,
889,2,6,8,8,
890,2,6,6,7,
891,2,8,8,,
892,2,8,8,8,
893,2,6,6,6,
894,2,7,7,7,
895,2,7,7,8,
896,2,9,8,8,
897,2,5,6,7,
898,2,8,8,,
899,2,7,7,7,
900,2,7,8,8,
901,2,5,6,7,
902,2,6,7,8,
903,2,7,7,,
904,2,1,3,6,
905,2,7,7,,
906,2,4,6,6,
907,2,6,5,,
908,2,,8,8,
909,2,6,,,
910,2,,,,
911,2,6,6,5,
912,2,7,7,7,
913,2,6,7,7,
914,2,7,8,8,
915,2,7,8,8,
916,2,8,8,7,
917,2,8,8,7,
918,2,9,8,6,
919,2,9,9,9,
920,2,9,9,7,
921,2,7,8,8,
922,2,1,4,4,
923,2,8,8,9,
924,2,6,6,,
925,2,6,7,,
926,2,6,7,,
927,2,6,7,,
928,2,7,,,
929,2,7,7,7,
930,2,7,8,,
931,2,5,6,,
932,2,5,5,,
933,2,7,7,,
934,2,6,6,6,
935,2,6,7,7,
936,2,,,,
937,2,9,8,,
938,2,4,8,,
939,2,6,6,,
940,2,1,,,
941,2,7,,,
942,2,,,,
943,2,6,,,
944,2,5,6,,
945,2,,,,
946,2,6,6,8,
947,2,1,7,,
948,2,7,8,,
949,2,9,7,8,
950,2,7,7,,
951,2,6,7,,
952,2,5,6,,
953,2,6,7,,
954,2,7,8,,
955,2,6,7,7,
956,2,8,8,8,
957,2,,,,
958,2,8,,,
959,2,,,,
960,2,7,,,
961,2,8,7,7,
962,2,5,5,5,
963,2,9,9,8,
964,2,7,8,7,
965,2,1,6,6,
966,2,1,6,7,
967,2,6,8,6,
968,2,4,6,5,
969,2,4,7,4,
970,2,2,3,8,
971,2,7,7,8,
972,2,6,7,,
973,2,6,7,,
974,2,6,7,7,
975,2,6,8,9,
976,2,9,8,9,
977,2,1,6,,
978,2,8,8,,
979,2,7,8,8,
980,2,9,8,7,
981,2,9,9,9,
982,2,8,8,8,
983,2,7,8,8,
984,2,9,9,8,
985,2,8,8,8,
986,2,6,6,5,
987,2,8,,,
988,2,7,9,8,
989,2,7,8,7,
990,2,1,6,8,
991,2,5,5,3,
992,2,2,1,,
993,2,6,6,,
994,2,5,9,,
995,2,9,9,,
996,2,5,6,7,
997,2,8,8,,
998,2,7,7,8,
999,2,6,5,,
1000,2,9,9,8,
1001,2,,7,,
1002,2,9,9,9,
1003,2,4,6,6,
1004,2,8,8,8,
1005,2,8,8,8,
1006,2,1,5,5,
1007,2,6,7,7,
1008,2,7,7,7,
1009,2,7,,,
1010,2,5,6,6,
1011,2,6,,,
1012,2,1,4,6,
1013,2,1,6,6,
1014,2,1,6,2,
1015,2,6,7,,
1016,2,5,6,7,
1017,2,9,8,7,
1018,2,7,7,6,
1019,2,6,,,
1020,2,7,8,,
1021,2,4,4,,
1022,2,6,6,,
1023,2,7,8,8,
1024,2,6,6,7,
1025,2,9,9,,
1026,2,8,8,7,
1027,2,6,6,7,
1028,2,5,5,6,
1029,2,9,,,
1030,2,6,7,7,
1031,2,6,6,7,
1032,2,8,8,9,
1033,2,8,9,7,
1034,2,8,8,8,
1035,2,7,8,8,
1036,2,6,7,,
1037,2,,,8,
1038,2,8,8,8,
1039,2,9,8,8,
1040,2,1,6,9,
1041,2,9,9,8,
1042,2,8,8,8,
1043,2,5,8,8,
1044,2,7,8,8,
1045,2,6,7,8,
1046,2,8,8,7,
1047,2,7,7,,
1048,2,8,8,8,
1049,2,8,8,,
1050,2,8,8,,
1051,2,7,7,,
1052,2,7,7,,
1053,2,5,,,
1054,2,7,7,,
1055,2,8,8,8,
1056,2,7,6,7,
1057,2,4,7,,
1058,2,9,7,,
1059,2,7,9,9,
1060,2,6,7,,
1061,2,6,6,,
1062,2,8,7,7,
1063,2,9,8,8,
1064,2,7,8,9,
1065,2,6,7,8,
1066,2,8,8,8,
1067,2,8,8,8,
1068,2,9,9,9,
1069,2,7,8,8,
1070,2,8,8,,
1071,2,8,,,
1072,2,8,8,,
1073,2,7,7,,
1074,2,9,9,9,
1075,2,8,8,8,
1076,2,7,8,8,
1077,2,8,8,8,
1078,2,8,8,,
1079,2,9,8,8,
1080,2,9,9,9,
1081,2,1,,,
1082,2,9,9,,
1083,2,9,,,
1084,2,8,8,8,
1085,2,9,10,10,
1086,2,9,10,10,
1087,2,8,7,7,
1088,2,6,7,7,
1089,2,7,8,8,
1090,2,1,8,8,
1091,2,8,,,
1092,2,6,8,8,
1093,2,1,9,9,
1094,2,6,6,8,
1095,2,6,6,5,
1096,2,7,8,8,
1097,2,8,8,8,
1098,2,7,8,,
1099,2,9,9,8,
1100,2,10,7,9,
1101,2,10,10,10,
1102,2,9,9,9,
1103,2,7,8,9,
1104,2,9,9,9,
1105,2,1,10,,
1106,2,7,7,7,
1107,2,6,6,8,
1108,2,6,7,,
1109,2,6,7,7,
1110,2,8,8,8,
1111,2,6,6,7,
1112,2,7,8,,
1113,2,8,8,7,
1114,2,6,6,6,
1115,2,8,8,8,
1116,2,6,6,6,
1117,2,8,9,9,
1118,2,6,8,8,
1119,2,9,9,7,
1120,2,8,7,8,
1121,2,6,7,8,
1122,2,5,7,6,
1123,2,5,8,8,
1124,2,1,5,8,
1125,2,6,6,3,
1126,2,7,1,1,
1127,2,6,6,8,
1128,2,7,8,8,
1129,2,6,7,,
1130,2,6,,,
1131,2,7,,,
1132,2,,,,
1133,2,7,7,,
1134,2,7,6,,
1135,2,8,9,9,
1136,2,7,7,,
1137,2,6,7,8,
1138,2,6,7,7,
1139,2,6,7,6,
1140,2,1,6,6,
1141,2,7,7,6,
1142,2,8,8,8,
1143,2,6,6,6,
1144,2,7,8,9,
1145,2,6,5,7,
1146,2,2,,,
1147,2,6,6,,
1148,2,6,6,,
1149,2,6,7,,
1150,2,8,8,,
1151,2,7,7,8,
1152,2,6,7,,
1153,2,6,6,7,
1154,2,7,6,6,
1155,2,6,8,,
1156,2,4,6,5,
1157,2,,,,
1158,2,8,,,
1159,2,7,,,
1160,2,7,7,,
1161,2,,,,
1162,2,8,8,,
1163,2,2,,,
1164,2,1,,,
1165,2,7,,,
1166,2,6,6,8,
1167,2,4,8,,
1168,2,0,,,
1169,2,1,,,
1170,2,8,8,8,
1171,2,7,,,
1172,2,0,,,
1173,2,8,,,
1174,2,9,8,9,
1175,2,8,8,8,
1176,2,8,7,7,
1177,2,5,6,7,
1178,2,0,,,
1179,2,6,6,,
1180,2,2,,,
1181,2,6,7,,
1182,2,8,8,7,
1183,2,6,5,8,
1184,2,6,7,6,
1185,2,7,8,7,
1186,2,7,7,7,
1187,2,7,7,8,
1188,2,1,7,,
1189,2,8,7,7,
1190,2,6,6,,
1191,2,4,4,7,
1192,2,8,8,5,
1193,2,6,6,8,
1194,2,5,6,8,
1195,2,8,9,6,
1196,2,9,8,8,
1197,2,9,9,9,
1198,2,1,6,7,
1199,2,8,7,7,
1200,2,6,8,7,
1201,2,6,7,7,
1202,2,8,8,7,
1203,2,7,7,7,
1204,2,7,7,7,
1205,2,8,8,,
1206,2,9,8,8,
1207,2,8,8,6,
1208,2,0,,,
1209,2,7,9,6,
1210,2,8,7,,
1211,2,6,7,8,
1212,2,3,7,,
1213,2,0,,,
1214,2,6,7,,
1215,2,6,,,
1216,2,6,7,7,
1217,2,8,6,,
1218,2,8,8,7,
1219,2,6,9,8,
1220,2,6,7,7,
1221,2,7,7,7,
1222,2,8,8,8,
1223,2,7,9,9,
1224,2,6,7,7,
1225,2,7,9,8,
1226,2,8,8,8,
1227,2,9,8,8,
1228,2,5,7,,
1229,2,6,6,6,
1230,2,4,5,6,
1231,2,,,,
1232,2,3,3,8,
1233,2,7,9,,
1234,2,5,7,,
1235,2,6,,,
1236,2,6,6,7,
1237,2,6,5,6,
1238,2,7,7,,
1239,2,8,,,
1240,2,7,7,,
1241,2,8,,,
1242,2,2,,,
1243,2,7,,,
1244,2,5,6,7,
1245,2,6,5,,
1246,2,9,9,,
1247,2,8,7,8,
1248,2,7,8,7,
1249,2,5,,,
1250,2,7,8,8,
1251,2,5,6,,
1252,2,6,,,
1253,2,9,8,8,
1254,2,1,8,8,
1255,2,9,9,8,
1256,2,9,9,8,
1257,2,6,,,
1258,2,7,7,7,
1259,2,9,8,8,
1260,2,9,9,9,
1261,2,6,6,7,
1262,2,8,8,,
1263,2,9,9,,
1264,2,7,8,5,
1265,2,7,8,8,
1266,2,6,5,7,
1267,2,7,7,7,
1268,2,7,8,4,
1269,2,7,8,8,
1270,2,7,8,8,
1271,2,0,,,
1272,2,7,7,7,
1273,2,8,8,7,
1274,2,7,7,7,
1275,2,7,7,7,
1276,2,8,8,8,
1277,2,7,7,,
1278,2,6,7,,
1279,2,8,8,8,
1280,2,6,6,6,
1281,2,5,7,,
1282,2,7,5,7,
1283,2,8,7,5,
1284,2,9,9,9,
1285,2,7,9,9,
1286,2,9,9,8,
1287,2,9,10,10,
1288,2,6,6,7,
1289,2,7,8,8,
1290,2,0,,,
1291,2,7,7,7,
